stress,policy,seed,cost_usd,violation_rate,total_lateness_seconds,credit_exhaustions,throttled_vm_hours,robust_bound_evaluations,robust_bound_exceedances,bound_exceedance_rate,migrations,scheduler_runtime_seconds,maximum_vms,makespan_seconds
MODERATE,"UBR-CA no migration",20292379,143.650000,0.000000,0.000000,223,82.216455,22984,4052,0.176297,0,1.355792,121,1227941.175380
MODERATE,"UBR-CA",20292379,147.537500,0.000000,0.000000,0,0.000000,23606,3865,0.163730,680,1.027276,124,1227041.175380
MODERATE,"HEFT",20300298,142.650000,0.500000,187009.718855,691,790.555048,22824,19885,0.871232,0,1.158821,53,1454134.069832
MODERATE,"KRP",20300298,159.500000,1.000000,32615197.748392,66,1676.205444,25520,24060,0.942790,0,3.617500,51,3907534.069832
MODERATE,"CCS",20300298,167.812500,1.000000,19593482.388976,70,1469.266582,26850,19470,0.725140,0,2.778793,59,3224734.069832
MODERATE,"CARS",20300298,147.962500,0.000000,0.000000,175,3.419703,23674,17577,0.742460,1760,1.427086,134,1243234.069832
MODERATE,"UBR-CA no migration",20300298,143.925000,0.000000,0.000000,230,77.648742,23028,4061,0.176351,0,1.305165,128,1243834.069832
MODERATE,"UBR-CA",20300298,151.481250,0.000000,0.000000,1,0.000221,24237,3946,0.162809,703,1.180768,137,1242634.069832
MODERATE,"HEFT",20308217,145.237500,0.500000,196714.047173,636,926.398264,23238,20654,0.888803,0,1.580983,51,1758128.349201
MODERATE,"KRP",20308217,162.318750,1.000000,32294257.036826,73,1679.724971,25971,24433,0.940780,0,3.914126,49,4023428.349201
MODERATE,"CCS",20308217,170.637500,1.000000,20013908.143878,86,1484.206855,27302,19834,0.726467,0,2.697436,56,3391628.349201
MODERATE,"CARS",20308217,151.425000,0.000000,0.000000,171,3.504141,24228,18110,0.747482,1744,1.464204,139,1360328.349201
MODERATE,"UBR-CA no migration",20308217,147.356250,0.000000,0.000000,253,92.503130,23577,4287,0.181830,0,1.270151,133,1360628.349201
MODERATE,"UBR-CA",20308217,151.775000,0.000000,0.000000,4,0.024900,24284,4000,0.164718,799,1.248543,142,1360328.349201
MODERATE,"HEFT",20316136,141.062500,0.500000,202656.630973,765,796.246423,22570,19692,0.872486,0,1.246102,52,1442270.112804
MODERATE,"KRP",20316136,157.200000,1.000000,29439006.600289,61,1641.422776,25152,23650,0.940283,0,3.083584,50,3699170.112804
MODERATE,"CCS",20316136,165.525000,1.000000,18244687.991549,83,1455.738783,26484,19385,0.731951,0,2.193795,57,3148370.112804
MODERATE,"CARS",20316136,146.475000,0.000000,0.000000,158,3.048009,23436,17338,0.739802,1731,1.534211,141,1252670.112804
MODERATE,"UBR-CA no migration",20316136,140.575000,0.000000,0.000000,249,91.933952,22492,4050,0.180064,0,1.342572,137,1252670.112804
MODERATE,"UBR-CA",20316136,146.931250,0.000000,0.000000,2,0.023717,23509,3942,0.167680,822,1.180645,141,1252970.112804
MODERATE,"HEFT",20324055,146.406250,0.500000,211822.383688,664,766.762897,23425,20199,0.862284,0,1.130671,54,1473538.385066
MODERATE,"KRP",20324055,162.531250,1.000000,32889850.709133,68,1692.219722,26005,24437,0.939704,0,3.194903,52,3999238.385066
MODERATE,"CCS",20324055,168.887500,1.000000,19637775.849743,83,1477.739369,27022,19664,0.727703,0,2.774742,59,3302038.385066
MODERATE,"CARS",20324055,150.800000,0.000000,0.000000,181,3.430346,24128,17962,0.744446,1873,1.678021,150,1306738.385066
MODERATE,"UBR-CA no migration",20324055,146.931250,0.000000,0.000000,251,94.245826,23509,4199,0.178612,0,1.646972,146,1307338.385066
MODERATE,"UBR-CA",20324055,152.068750,0.000000,0.000000,0,0.000000,24331,3961,0.162796,856,1.684054,147,1306738.385066
MODERATE,"HEFT",20331974,146.443750,0.833333,720394.239950,408,943.028154,23431,20741,0.885195,0,1.470640,54,1766194.870937
MODERATE,"KRP",20331974,160.525000,1.000000,30526988.457687,69,1659.496006,25684,24174,0.941209,0,3.022817,52,3897094.870937
MODERATE,"CCS",20331974,166.543750,1.000000,18902616.656965,79,1472.946841,26647,19610,0.735918,0,2.321531,60,3245794.870937
MODERATE,"CARS",20331974,146.762500,0.000000,0.000000,173,3.472566,23482,17593,0.749212,1747,1.169328,137,1317994.870937
MODERATE,"UBR-CA no migration",20331974,144.512500,0.000000,0.000000,250,93.756547,23122,4105,0.177537,0,1.357776,132,1317394.870937
MODERATE,"UBR-CA",20331974,149.056250,0.000000,0.000000,1,0.006086,23849,3929,0.164745,815,1.597743,138,1316794.870937
